Reference molID, Reference formula, Test molID, Test formula, Perpendicular Distance, Planar Angle (Deg), Relative X-angle (Deg), Relative Y-angle (Deg), Relative Z-angle (Deg), Reference X-center, Reference Y-center, Reference Z-center, Test X-center, Test Y-center, Test Z-center
0.1, x-dummy-plane,3579, C7,-20.37,56.34,0,0,0,0,0,0,-20.37,23.71,20.16
0.1, x-dummy-plane,2671, C5,-20.38,81.98,0,0,0,0,0,0,-20.38,4.99,3.92
0.1, x-dummy-plane,1417, C7,-20.39,81.64,0,0,0,0,0,0,-20.39,-5.82,-8.66
0.1, x-dummy-plane,508, C6,20.39,81.97,0,0,0,0,0,0,20.39,23.41,-24.57
0.1, x-dummy-plane,1914, C5,20.4,75.94,0,0,0,0,0,0,20.4,3.54,-3.23
0.1, x-dummy-plane,437, C6,-20.41,27.58,0,0,0,0,0,0,-20.41,17.62,-20.58
0.1, x-dummy-plane,2050, C6,20.41,83.93,0,0,0,0,0,0,20.41,-24.74,-1.19
0.1, x-dummy-plane,4109, C6,20.41,62.52,0,0,0,0,0,0,20.41,19.22,22.54
0.1, x-dummy-plane,2521, C6,20.41,47.59,0,0,0,0,0,0,20.41,-15.23,6.56
0.1, x-dummy-plane,3862, C5,-20.41,49.67,0,0,0,0,0,0,-20.41,16.25,18.8
0.1, x-dummy-plane,2411, C6,-20.42,60.73,0,0,0,0,0,0,-20.42,21.31,2.61
0.1, x-dummy-plane,879, C5,20.43,37.42,0,0,0,0,0,0,20.43,22.04,-18.97
0.1, x-dummy-plane,893, C6,-20.44,85.86,0,0,0,0,0,0,-20.44,-19.93,-13.21
0.1, x-dummy-plane,2936, C5,20.45,41.27,0,0,0,0,0,0,20.45,-15.59,11.72
0.1, x-dummy-plane,2628, C7,20.45,37.87,0,0,0,0,0,0,20.45,-5.09,7.74
0.1, x-dummy-plane,1373, C7,20.45,46.59,0,0,0,0,0,0,20.45,-13.23,-6.64
0.1, x-dummy-plane,3305, C6,20.46,59.6,0,0,0,0,0,0,20.46,-12.5,14.01
0.1, x-dummy-plane,3174, C6,20.46,61.73,0,0,0,0,0,0,20.46,18.99,12.39
0.1, x-dummy-plane,438, C7,-20.46,23.64,0,0,0,0,0,0,-20.46,19.84,-19.3
0.1, x-dummy-plane,3961, C5,-20.46,44.08,0,0,0,0,0,0,-20.46,-16.43,22.99
0.1, x-dummy-plane,730, C6,-20.47,55.36,0,0,0,0,0,0,-20.47,7.04,-17.13
0.1, x-dummy-plane,2777, C6,20.47,79.99,0,0,0,0,0,0,20.47,16.13,7.27
0.1, x-dummy-plane,1298, C6,20.49,77.86,0,0,0,0,0,0,20.49,-23.73,-10.2
0.1, x-dummy-plane,1199, C5,-20.49,52.28,0,0,0,0,0,0,-20.49,20.91,-11.53
0.1, x-dummy-plane,1002, C5,20.49,82.79,0,0,0,0,0,0,20.49,-12.06,-11.91
0.1, x-dummy-plane,435, C6,-20.49,54.31,0,0,0,0,0,0,-20.49,17.12,-22.89
0.1, x-dummy-plane,3455, C6,-20.5,84.87,0,0,0,0,0,0,-20.5,10.04,13.21
0.1, x-dummy-plane,3818, C6,20.5,29.65,0,0,0,0,0,0,20.5,5.42,17.71
0.1, x-dummy-plane,1410, C5,20.51,39.69,0,0,0,0,0,0,20.51,-8.81,-7.87
0.1, x-dummy-plane,2527, C7,-20.52,33.09,0,0,0,0,0,0,-20.52,-13.71,5.38
0.1, x-dummy-plane,339, C6,20.52,11.59,0,0,0,0,0,0,20.52,7.6,-23.32
0.1, x-dummy-plane,1037, C6,-20.54,86.64,0,0,0,0,0,0,-20.54,-3.17,-10.66
0.1, x-dummy-plane,2491, C6,-20.54,23.3,0,0,0,0,0,0,-20.54,-16.03,6.2
0.1, x-dummy-plane,2714, C7,-20.54,89.94,0,0,0,0,0,0,-20.54,8.42,6.74
0.1, x-dummy-plane,2877, C7,-20.54,85.96,0,0,0,0,0,0,-20.54,-19.32,12.08
0.1, x-dummy-plane,2150, C7,-20.54,13.33,0,0,0,0,0,0,-20.54,-15.94,3.54
0.1, x-dummy-plane,1097, C6,20.55,46.85,0,0,0,0,0,0,20.55,2.5,-11.14
0.1, x-dummy-plane,3516, C5,20.55,23.18,0,0,0,0,0,0,20.55,15.66,12.66
0.1, x-dummy-plane,425, C6,20.55,47.36,0,0,0,0,0,0,20.55,14.65,-20.15
0.1, x-dummy-plane,2026, C7,-20.57,65.95,0,0,0,0,0,0,-20.57,23.55,-4.85
0.1, x-dummy-plane,194, C6,20.57,58.8,0,0,0,0,0,0,20.57,-7.73,-21.85
